#_1_NUMBER_Running_object_number_,#_2_FLAGS_Extraction_flags_,#_3_ALPHAWIN_J2000_Windowed_right_ascension_(J2000)_[deg],#_4_DELTAWIN_J2000_windowed_declination_(J2000)_[deg],#_5_XWIN_IMAGE_Windowed_position_estimate_along_x_[pixel],#_6_YWIN_IMAGE_Windowed_position_estimate_along_y_[pixel],#_7_ERRAWIN_IMAGE_RMS_windowed_pos_error_along_major_axis_[pixel],#_8_ERRBWIN_IMAGE_RMS_windowed_pos_error_along_minor_axis_[pixel],#_9_ERRTHETAWIN_IMAGE_Windowed_error_ellipse_pos_angle_(CCW/x)_[deg],#_10_CLASS_STAR_S/G_classifier_output_,#_11_XMIN_IMAGE_Minimum_x-coordinate_among_detected_pixels_[pixel],#_12_YMIN_IMAGE_Minimum_y-coordinate_among_detected_pixels_[pixel],#_13_XMAX_IMAGE_Maximum_x-coordinate_among_detected_pixels_[pixel],#_14_YMAX_IMAGE_Maximum_y-coordinate_among_detected_pixels_[pixel],#_15_X_IMAGE_Object_position_along_x_[pixel],#_16_Y_IMAGE_Object_position_along_y_[pixel],#_17_X_IMAGE_DBL_Object_position_along_x_(double_precision)_[pixel],#_18_Y_IMAGE_DBL_Object_position_along_y_(double_precision)_[pixel],#_19_MAG_AUTO_Kron-like_elliptical_aperture_magnitude_[mag],#_20_MAGERR_AUTO_RMS_error_for_AUTO_magnitude_[mag],#_21_MAG_APER_Fixed_aperture_magnitude_vector_[mag],#_22_MAGERR_APER_RMS_error_vector_for_fixed_aperture_mag._[mag],#_23_ISOAREAF_IMAGE_Isophotal_area_(filtered)_above_Detection_threshold_[pixel**2],#_24_FLUX_ISO_Isophotal_flux_[count],#_25_FLUXERR_ISO_RMS_error_for_isophotal_flux_[count],#_26_MAG_ISO_Isophotal_magnitude_[mag],#_27_MAGERR_ISO_RMS_error_for_isophotal_magnitude_[mag],#_28_FLUX_ISOCOR_Corrected_isophotal_flux_[count],#_29_FLUXERR_ISOCOR_RMS_error_for_corrected_isophotal_flux_[count],#_30_MAG_ISOCOR_Corrected_isophotal_magnitude_[mag],#_31_MAGERR_ISOCOR_RMS_error_for_corrected_isophotal_magnitude_[mag],#_32_FLUX_AUTO_Flux_within_a_Kron-like_elliptical_aperture_[count],#_33_FLUXERR_AUTO_RMS_error_for_AUTO_flux_[count],#_34_MAG_BEST_Best_of_MAG_AUTO_and_MAG_ISOCOR_[mag],#_35_MAGERR_BEST_RMS_error_for_MAG_BEST_[mag],#_36_FLUX_APER_Flux_vector_within_fixed_circular_aperture(s)_[count],#_37_FLUXERR_APER_RMS_error_vector_for_aperture_flux(es)_[count],#_38_MU_THRESHOLD_Analysis_threshold_above_background_[mag_*_arcsec**(-2)],#_39_MU_MAX_Peak_surface_brightness_above_background_[mag_*_arcsec**(-2)],#_40_X2_IMAGE_Variance_along_x_[pixel**2],#_41_Y2_IMAGE_Variance_along_y_[pixel**2],#_42_XY_IMAGE_Covariance_between_x_and_y_[pixel**2],#_43_X2_WORLD_Variance_along_X-WORLD_(alpha)_[deg**2],#_44_Y2_WORLD_Variance_along_Y-WORLD_(delta)_[deg**2],#_45_XY_WORLD_Covariance_between_X-WORLD_and_Y-WORLD_[deg**2]
11,0,0.5631800,+0.7953492,622.6583,37.9969,12.61729,11.45013,-41.90,0.350,621,37,624,39,622.5612,38.0923,622.5612,38.0923,23.9925,4.1231,23.8346,3.8340,11,0.01325399,0.08353768,25.0941,6.8449,0.02263851,0.1023349,24.5129,4.9091,0.03655815,0.1387974,23.9925,4.1231,0.04228291,0.1492734,28.6740,27.8730,1.0857136624e+00,5.9810735411e-01,-1.7423506334e-01,1.7124376722e-07,9.4330946947e-08,-2.7503196651e-08
12,0,0.5199253,+0.7918217,731.5612,46.8935,14.50760,13.93433,-74.06,0.350,731,45,733,49,732.2781,47.4441,732.2781,47.4441,24.0069,4.1510,24.0433,4.2213,10,0.01094872,0.07592755,25.3016,7.5312,0.02140598,0.09932246,24.5737,5.0390,0.0360772,0.1378971,24.0069,4.1510,0.03488909,0.1356138,28.6740,27.8295,6.0442814222e-01,1.3684079047e+00,-2.1104473692e-01,9.5336105572e-08,2.1581893588e-07,-3.3298100213e-08
13,0,0.5564356,+0.7908831,639.6390,49.2452,14.78159,13.73038,-28.00,0.415,638,47,643,51,639.6374,48.7938,639.6374,48.7938,23.2181,2.8862,23.6969,3.5981,16,0.02013445,0.1029616,24.6402,5.5535,0.03274006,0.1230096,24.1123,4.0803,0.07460618,0.1982778,23.2181,2.8862,0.04799939,0.1590321,28.6740,26.9984,1.9664355801e+00,1.2077916352e+00,-3.1661455521e-01,3.1015736218e-07,1.9048810360e-07,-4.9977410989e-08
14,0,359.3061017,+0.7914816,3787.4623,47.6859,5.25962,4.71623,30.10,0.541,3785,46,3789,49,3787.3523,47.7089,3787.3522,47.7089,24.0079,4.1512,24.3879,4.9487,16,0.03955275,0.1442957,23.9071,3.9619,0.04541283,0.1471232,23.7571,3.5183,0.03604388,0.1377761,24.0079,4.1512,0.0254004,0.1157456,28.6739,26.5007,1.0120203252e+00,8.5125722637e-01,-8.4317397744e-03,1.5960479219e-07,1.3424489256e-07,-1.3030250673e-09
15,0,0.5348544,+0.7891588,693.9742,53.5942,11.10440,9.66974,27.58,0.445,689,52,696,61,694.1603,53.6809,694.1604,53.6809,24.8585,6.1477,25.0814,6.8170,15,0.01885349,0.09963261,24.7115,5.7390,0.03069614,0.1191101,24.1823,4.2140,0.01646597,0.09321153,24.8585,6.1477,0.01341096,0.08418311,28.8792,26.7264,9.1535646721e-01,7.2831443787e-01,3.3656327104e-01,1.4437742129e-07,1.1485704555e-07,5.3064205794e-08
16,0,0.7745604,+0.7899683,90.4389,51.4608,12.08524,9.37646,-27.52,0.406,89,51,94,53,90.7387,51.9450,90.7387,51.9450,24.4054,4.9862,24.2593,4.6635,12,0.01724245,0.09527848,24.8085,6.0010,0.02491886,0.1071386,24.4087,4.6693,0.02499378,0.114756,24.4054,4.9862,0.02859556,0.1227953,28.7064,26.9314,2.1758675900e+00,6.0929896074e-01,2.6880212377e-01,3.4312973564e-07,9.6076576838e-08,4.2325458310e-08
17,0,0.7955216,+0.7827155,37.6593,69.7147,10.48780,9.30919,68.33,0.405,26,67,39,74,37.6373,69.5781,37.6373,69.5781,24.0711,4.2743,23.9011,3.9533,21,0.02847779,0.1224483,24.2637,4.6696,0.0431076,0.1409929,23.8136,3.5520,0.03400666,0.1338453,24.0711,4.2743,0.03977182,0.1447789,28.6739,27.7601,1.0604783767e+00,1.5865940247e+00,3.8925611995e-01,1.6723239480e-07,2.5018822837e-07,6.1352310924e-08
18,0,0.8037107,+0.7789317,17.0396,79.2391,14.73221,14.08250,-39.57,0.351,16,76,19,81,17.8593,78.5007,17.8593,78.5007,23.2852,2.9766,23.5777,3.4058,13,0.0196864,0.1018063,24.6646,5.6161,0.02743072,0.1124038,24.3044,4.4501,0.07013369,0.1922294,23.2852,2.9766,0.0535681,0.1679946,28.6739,27.2028,8.8676993088e-01,1.6578552415e+00,4.9394554024e-01,1.3983856541e-07,2.6142252346e-07,7.7866189710e-08
19,0,0.5130987,+0.7789081,748.7485,79.4128,13.15860,9.07443,-39.05,0.518,745,77,751,82,748.4154,79.4258,748.4154,79.4258,24.2638,4.6731,24.1099,4.3530,15,0.01756527,0.09616986,24.7884,5.9459,0.03110202,0.1199505,24.1680,4.1884,0.02847609,0.1225338,24.2638,4.6731,0.03281333,0.1315241,28.7711,26.7217,2.3760427637e+00,1.9566554047e+00,-1.7978060261e+00,3.7477565596e-07,3.0862752722e-07,-2.8360058583e-07
20,0,0.5657912,+0.7780815,616.0841,81.4773,11.61887,10.23364,74.10,0.356,615,79,617,83,615.9462,81.3488,615.9461,81.3488,24.6370,5.5499,24.3892,4.9517,11,0.00978589,0.07178599,25.4235,7.9665,0.0328075,0.1142884,24.1101,3.7832,0.02019323,0.1031957,24.6370,5.5499,0.02537006,0.1156764,28.8358,28.2444,5.9600222510e-01,1.3749532737e+00,4.3835984906e-01,9.4004824511e-08,2.1683726211e-07,6.9124975242e-08
21,0,0.8049695,+0.7651284,13.8699,113.9978,14.66994,12.33526,-47.53,0.410,12,112,16,117,13.8147,114.2853,13.8147,114.2853,24.2256,4.5908,23.8777,3.9110,13,0.01615196,0.09221875,24.8794,6.2005,0.02662898,0.1109559,24.3366,4.5251,0.02949506,0.1246828,24.2256,4.5908,0.04063577,0.1463406,28.6739,27.5458,1.5921920694e+00,1.9381766564e+00,-1.3573488895e+00,2.5108090067e-07,3.0568697302e-07,-2.1409641628e-07
22,0,0.1858455,+0.7604617,1572.6356,125.9284,7.16330,5.56967,1.05,0.472,1571,125,1574,127,1572.7439,125.9656,1572.7439,125.9656,24.5079,5.2261,24.6697,5.6362,10,0.0185795,0.09889992,24.7274,5.7809,0.02328906,0.1040134,24.4821,4.8503,0.0227416,0.1094374,24.5079,5.2261,0.01959384,0.1016903,28.5808,26.8177,7.1502404855e-01,5.2323576082e-01,3.1075530123e-03,1.1279817001e-07,8.2529048164e-08,4.8533996207e-10
